,2015,,,,,,,,,,,2016,,,,,,,,,,,2017,,,,,,,,,,,2018,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ Abbott,,,,,,,,,,,,5,2,13,12,13,8,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KK Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
KK Nair,14,1,181,61,16.45,145,0,1,0,23,0,14,2,357,83,35.7,297,0,3,0,46,1,14,0,281,64,21.61,226,0,1,1,45,0,13,0,301,54,25.08,221,0,2,0,36,0,1,0,5,5,5,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
KL Rahul,9,3,142,44,28.4,126,0,0,0,13,1,14,3,397,68,44.11,271,0,4,1,53,1,,,,,,,,,,,,14,2,659,95,54.91,416,0,6,0,98,1,14,3,593,100,53.9,438,1,6,0,74,1,,,,,,,,,,,,,,,,,,,,,
KM Jadhav,14,4,189,63,23.62,140,0,1,1,23,1,4,3,42,25,0,32,0,0,0,4,1,13,1,267,69,22.25,186,0,1,0,35,0,1,1,24,24,0,22,0,0,0,3,1,14,3,162,58,18,169,0,1,1,22,0,,,,,,,,,,,,,,,,,,,,,
KMA Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,18,7,3.6,24,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,
KP Pietersen,,,,,,,,,,,,4,2,73,37,36.5,61,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS Williamson,2,1,31,26,31,27,0,0,0,2,1,6,0,124,50,20.66,122,0,1,0,14,0,7,1,256,89,42.66,169,0,2,0,30,0,17,3,735,84,52.5,516,0,8,1,91,0,9,2,156,70,22.28,130,0,1,0,17,1,,,,,,,,,,,,,,,,,,,,,
Kuldeep Yadav,,,,,,,,,,,,,,,,,,,,,,,12,0,20,16,10,22,0,0,0,2,0,16,2,12,7,12,24,0,0,0,1,1,9,2,12,10,6,8,0,0,2,1,1,,,,,,,,,,,,,,,,,,,,,
KV Sharma,14,3,104,32,17.33,85,0,0,0,9,0,5,3,36,26,0,30,0,0,0,4,1,9,0,49,19,8.16,41,0,0,0,7,0,6,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW Richardson,,,,,,,,,,,,4,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE Plunkett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,1,3,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LH Ferguson,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMP Simmons,13,1,540,71,45,441,0,6,1,77,0,1,0,8,8,8,8,0,0,0,1,0,7,0,137,66,19.57,112,0,2,1,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS Livingstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,70,44,23.33,48,0,0,0,11,0,,,,,,,,,,,,,,,,,,,,,
M Ashwin,,,,,,,,,,,,10,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,2,0,1,1,1,2,0,0,0,0,0,10,2,3,1,3,5,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
M Markande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,21,7,10.5,24,0,0,0,2,1,3,1,6,6,6,5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
M Morkel,7,1,4,4,0,3,0,0,0,0,1,10,2,1,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Prasidh Krishna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,1,0,5,0,0,0,0,1,11,0,0,0,0,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
M Vijay,11,0,251,39,22.81,228,0,0,1,35,0,14,1,453,89,34.84,364,0,5,0,60,0,,,,,,,,,,,,1,0,12,12,12,10,0,0,0,1,0,2,0,64,38,32,61,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,
M Vohra,7,0,82,39,11.71,81,0,0,0,9,0,7,0,161,51,23,131,0,1,1,22,0,11,0,229,95,25.44,159,0,1,0,32,0,4,0,55,45,13.75,47,0,0,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA Agarwal,10,1,213,68,23.66,177,0,2,1,30,0,3,0,27,10,9,25,0,0,0,4,0,3,0,26,20,8.66,27,0,0,1,3,0,11,1,120,30,12,94,0,0,1,14,0,13,0,332,58,25.53,234,0,2,1,40,0,,,,,,,,,,,,,,,,,,,,,
MA Starc,13,2,11,9,11,14,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandeep Singh,14,2,157,54,22.42,100,0,1,2,23,1,,,,,,,,,,,,11,0,188,52,18.8,177,0,1,2,25,0,14,3,252,47,25.2,186,0,0,0,27,1,13,8,165,33,41.25,120,0,0,1,14,1,,,,,,,,,,,,,,,,,,,,,
MC Henriques,9,2,287,74,41,211,0,2,0,32,1,17,3,182,31,15.16,158,0,0,1,21,1,12,5,277,55,46.16,203,0,3,0,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEK Hussey,4,0,77,56,19.25,70,0,1,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG Johnson,9,4,31,13,7.75,36,0,0,1,2,1,3,1,5,4,2.5,14,0,0,0,0,0,5,3,20,13,0,17,0,0,0,2,1,6,2,16,12,0,11,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJ Guptill,,,,,,,,,,,,3,0,57,48,19,55,0,0,0,6,0,7,1,132,50,22,88,0,1,1,22,1,,,,,,,,,,,,3,0,81,36,27,53,0,0,0,11,0,,,,,,,,,,,,,,,,,,,,,
MJ McClenaghan,12,2,13,12,13,6,0,0,1,2,1,14,2,34,20,11.33,23,0,0,0,5,0,14,3,16,12,4,15,0,0,2,1,0,11,3,11,11,5.5,10,0,0,2,2,1,5,1,11,10,3.66,16,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,,
MJ Santner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,32,22,32,23,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,
MK Lomror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,20,11,20,21,0,0,0,1,0,2,0,8,8,8,3,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
MK Pandey,13,1,225,40,20.45,184,0,0,1,29,0,12,3,248,52,31,183,0,2,1,26,0,14,5,396,81,49.5,308,0,2,0,40,1,15,2,284,62,25.81,246,0,3,1,27,1,12,3,344,83,43,263,0,3,0,40,1,,,,,,,,,,,,,,,,,,,,,
MK Tiwary,5,1,57,32,28.5,56,0,0,0,9,0,,,,,,,,,,,,15,3,324,60,32.4,236,0,2,1,42,0,5,1,47,35,15.66,44,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,77,65,19.25,46,0,1,0,10,0,11,2,220,66,27.5,133,0,2,0,33,0,,,,,,,,,,,,,,,,,,,,,
MM Patel,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM Sharma,16,3,28,21,9.33,18,0,0,2,3,1,14,2,32,15,8,26,0,0,0,4,0,14,1,51,13,8.5,50,0,0,0,4,0,9,3,10,4,10,13,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
MN Samuels,,,,,,,,,,,,,,,,,,,,,,,5,0,29,27,7.25,31,0,0,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nabi,,,,,,,,,,,,,,,,,,,,,,,3,0,2,2,2,3,0,0,0,0,0,2,0,18,14,9,12,0,0,0,3,0,8,1,115,31,19.16,76,0,0,0,15,0,,,,,,,,,,,,,,,,,,,,,
Mohammed Shami,,,,,,,,,,,,8,2,2,2,0,4,0,0,0,0,1,8,2,36,21,9,24,0,0,0,6,0,4,0,7,7,7,6,0,0,0,1,0,14,1,1,1,1,2,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
Mohammed Siraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,25,14,12.5,22,0,0,0,3,0,9,3,4,3,4,14,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
MP Stoinis,,,,,,,,,,,,7,1,146,52,36.5,108,0,1,1,17,0,5,0,17,9,5.66,24,0,0,0,1,0,7,3,99,29,24.75,76,0,0,0,10,1,10,6,211,46,52.75,156,0,0,2,24,1,,,,,,,,,,,,,,,,,,,,,
MR Marsh,,,,,,,,,,,,3,0,7,7,7,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Bisla,2,0,37,20,18.5,30,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni,17,5,372,53,31,305,0,1,1,44,0,14,5,284,64,40.57,210,0,1,0,32,1,16,4,290,61,26.36,250,0,1,0,31,1,16,9,455,79,75.83,302,0,3,0,54,1,15,7,416,84,83.2,309,0,3,0,45,1,,,,,,,,,,,,,,,,,,,,,
Mujeeb Ur Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,10,10,10,7,0,0,1,2,1,5,2,0,0,0,4,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
Mustafizur Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N Pooran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,168,48,28,107,0,0,0,23,0,,,,,,,,,,,,,,,,,,,,,
N Rana,,,,,,,,,,,,4,0,104,70,34.66,75,0,1,0,15,0,13,1,333,62,30.27,264,0,3,0,41,1,15,2,304,59,23.38,232,0,1,0,40,0,14,1,344,85,34.4,235,0,3,1,48,1,,,,,,,,,,,,,,,,,,,,,
NA Saini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,2,2,2,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
NJ Maddinson,1,0,4,4,4,7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLTC Perera,2,0,12,9,6,15,0,0,0,1,0,12,3,150,34,21.42,93,0,0,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM Coulter-Nile,11,1,20,6,5,18,0,0,0,3,0,4,2,9,7,0,14,0,0,0,1,1,8,0,14,6,4.66,12,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS Naik,,,,,,,,,,,,2,0,23,22,11.5,31,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,16,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
NV Ojha,14,1,137,28,13.7,121,0,0,2,16,0,17,3,136,37,13.6,138,0,0,1,12,0,14,1,79,34,19.75,65,0,0,0,5,0,1,0,1,1,1,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Chopra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,6,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Kumar,12,1,17,12,5.66,25,0,0,1,1,0,16,3,24,15,6,26,0,0,1,3,0,6,1,8,7,8,9,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Negi,10,1,116,36,14.5,73,0,0,0,15,0,8,4,57,19,28.5,59,0,0,0,5,1,12,2,144,35,18,111,0,0,0,17,0,2,0,3,3,1.5,5,0,0,1,0,0,7,0,9,5,2.25,12,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,
P Ray Barman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,19,19,19,24,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
P Sahu,,,,,,,,,,,,5,1,19,18,19,13,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Simran Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,16,16,17,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
PA Patel,14,1,339,59,26.07,246,0,2,2,52,0,10,0,177,81,17.7,152,0,1,1,27,0,16,0,395,70,24.68,293,0,2,2,57,0,6,1,153,53,30.6,109,0,1,0,24,0,14,0,373,67,26.64,268,0,2,1,58,0,,,,,,,,,,,,,,,,,,,,,
Parvez Rasool,2,1,2,2,0,2,0,0,0,0,1,4,0,10,10,10,9,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Cummins,3,0,0,0,0,2,0,0,1,0,0,,,,,,,,,,,,12,4,77,24,15.4,53,0,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Sangwan,,,,,,,,,,,,,,,,,,,,,,,5,1,2,1,1,4,0,0,1,0,1,1,0,0,0,0,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Chawla,13,4,54,22,13.5,47,0,0,2,7,0,12,0,27,11,9,26,0,0,0,4,0,6,0,2,2,2,6,0,0,0,0,0,15,3,27,12,6.75,34,0,0,1,2,0,13,2,42,14,14,37,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,
PP Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,245,65,27.22,160,0,2,0,37,0,16,0,353,99,22.06,264,0,2,1,54,0,,,,,,,,,,,,,,,,,,,,,
PSP Handscomb,,,,,,,,,,,,2,0,6,6,6,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV Tambe,10,2,3,2,0,5,0,0,0,0,1,7,1,7,7,0,19,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q de Kock,3,0,122,69,40.66,77,0,2,0,22,0,13,1,445,108,37.08,327,1,3,0,65,0,,,,,,,,,,,,8,0,201,53,25.12,162,0,1,0,28,0,16,1,529,81,35.26,398,0,4,1,70,0,,,,,,,,,,,,,,,,,,,,,
R Ashwin,14,3,52,23,17.33,32,0,0,0,7,0,14,4,41,29,20.5,38,0,0,1,4,0,,,,,,,,,,,,14,1,102,45,12.75,71,0,0,3,12,0,14,1,42,17,8.4,28,0,0,2,6,1,,,,,,,,,,,,,,,,,,,,,
R Bhatia,2,0,0,0,0,1,0,0,1,0,0,10,5,34,21,34,20,0,0,0,3,0,3,1,16,16,16,17,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Dhawan,5,3,36,25,18,33,0,0,0,4,1,2,2,14,11,0,6,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Parag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,160,50,32,126,0,1,0,22,0,,,,,,,,,,,,,,,,,,,,,
R Sathish,,,,,,,,,,,,4,0,24,10,8,24,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Tewatia,,,,,,,,,,,,,,,,,,,,,,,3,1,19,15,19,11,0,0,0,4,1,8,2,50,24,16.66,43,0,0,0,6,0,5,3,26,11,26,22,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,
R Vinay Kumar,13,2,0,0,0,2,0,0,1,0,1,3,1,13,12,13,12,0,0,0,1,0,,,,,,,,,,,,2,1,6,6,0,3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA Jadeja,17,5,132,24,18.85,126,0,0,1,10,0,15,6,191,36,21.22,177,0,0,1,18,1,12,6,158,28,39.5,113,0,0,0,17,0,16,5,89,27,17.8,74,0,0,0,7,1,16,6,106,31,35.33,88,0,0,0,11,1,,,,,,,,,,,,,,,,,,,,,
RA Tripathi,,,,,,,,,,,,,,,,,,,,,,,14,0,391,93,27.92,267,0,2,1,60,0,12,3,226,80,25.11,167,0,1,0,26,1,8,1,141,50,23.5,118,0,1,0,15,0,,,,,,,,,,,,,,,,,,,,,
Rashid Khan,,,,,,,,,,,,,,,,,,,,,,,14,1,11,6,5.5,9,0,0,0,1,1,17,2,59,34,11.8,31,0,0,2,9,1,15,3,34,17,6.8,23,0,0,3,4,1,,,,,,,,,,,,,,,,,,,,,
Rasikh Salam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,0,4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
RD Chahar,,,,,,,,,,,,,,,,,,,,,,,3,1,3,3,0,2,0,0,0,0,1,,,,,,,,,,,,13,2,12,10,6,11,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,,
RG More,2,1,2,2,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,16,2,482,98,34.42,333,0,3,2,62,1,14,3,489,85,44.45,368,0,5,1,65,1,17,2,333,67,23.78,273,0,3,1,40,0,14,2,286,94,23.83,215,0,2,3,37,0,15,1,405,67,28.92,315,0,2,0,62,0,,,,,,,,,,,,,,,,,,,,,
RK Bhui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,5,0,0,1,0,0,1,0,7,7,7,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
RK Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,29,16,7.25,31,0,0,0,4,0,5,1,37,30,18.5,34,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,
RN ten Doeschate,6,2,61,38,20.33,45,0,0,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR Pant,,,,,,,,,,,,10,2,198,69,24.75,152,0,1,0,25,0,14,0,366,97,26.14,221,0,2,3,52,0,14,1,684,128,52.61,394,1,5,1,105,1,16,3,488,78,37.53,300,0,3,0,64,1,,,,,,,,,,,,,,,,,,,,,
RR Rossouw,2,0,14,14,7,10,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS Bopara,9,3,145,41,29,120,0,0,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,13,1,364,80,30.33,277,0,1,0,49,1,15,0,394,72,26.26,289,0,3,1,53,0,14,0,388,87,29.84,235,0,5,1,57,0,16,0,351,54,21.93,265,0,1,0,51,0,12,2,282,67,31.33,245,0,1,1,38,1,,,,,,,,,,,,,,,,,,,,,
S Aravind,5,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,10,4,32,9,8,40,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Badree,,,,,,,,,,,,,,,,,,,,,,,7,0,13,8,2.6,23,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan,14,1,353,54,27.15,286,0,3,0,51,0,17,4,501,82,38.53,429,0,4,1,59,1,14,1,479,77,36.84,376,0,3,0,62,0,16,3,497,92,38.23,363,0,4,1,73,1,16,1,521,97,34.73,384,0,5,1,75,1,,,,,,,,,,,,,,,,,,,,,
S Dube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,40,24,13.33,33,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,
S Gopal,1,1,1,1,0,1,0,0,0,0,1,1,0,2,2,2,16,0,0,0,0,0,,,,,,,,,,,,11,1,50,24,16.66,45,0,0,1,5,0,14,3,63,19,15.75,46,0,0,2,9,1,,,,,,,,,,,,,,,,,,,,,
S Kaul,,,,,,,,,,,,,,,,,,,,,,,10,1,0,0,0,2,0,0,0,0,1,17,1,3,2,1,14,0,0,1,0,0,7,1,0,0,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
S Kaushik,,,,,,,,,,,,7,1,0,0,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Lamichhane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
S Nadeem,4,0,2,2,2,7,0,0,0,0,0,4,1,1,1,0,5,0,0,0,0,1,7,1,2,2,0.66,9,0,0,2,0,0,6,1,6,6,0,8,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Abbott,2,0,15,14,7.5,13,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Yadav,13,4,157,46,17.44,113,0,0,1,20,1,15,4,182,60,26,143,0,1,0,23,0,10,1,105,31,17.5,88,0,0,0,11,0,14,0,512,72,36.57,384,0,4,1,77,0,16,2,424,71,32.61,324,0,2,0,55,1,,,,,,,,,,,,,,,,,,,,,
Sachin Baby,,,,,,,,,,,,11,2,119,33,29.75,79,0,0,1,14,0,3,0,15,12,5,15,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandeep Sharma,14,2,9,7,9,14,0,0,0,1,0,14,4,8,5,0,9,0,0,0,0,1,13,4,7,5,0,6,0,0,0,0,1,12,1,0,0,0,4,0,0,2,0,1,11,2,6,5,0,3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SB Jakati,,,,,,,,,,,,6,1,1,1,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD Lad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15,15,15,13,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
SE Marsh,4,0,81,65,20.25,58,0,1,0,10,0,6,1,159,56,31.8,134,0,1,0,17,1,9,0,264,84,33,194,0,2,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Rutherford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,73,28,14.6,54,0,0,0,9,1,,,,,,,,,,,,,,,,,,,,,
Shakib Al Hasan,4,0,36,23,12,27,0,0,1,5,0,10,2,114,66,22.8,106,0,1,0,12,1,1,1,1,1,0,1,0,0,0,0,1,17,2,239,35,21.72,197,0,0,0,31,0,3,0,9,9,9,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Shivam Mavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,13,7,4.33,15,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubman Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,203,57,33.83,139,0,1,0,27,1,14,4,296,76,32.88,238,0,3,0,31,0,,,,,,,,,,,,,,,,,,,,,
SK Raina,17,2,374,62,24.93,305,0,2,1,47,0,15,1,399,75,28.5,312,0,3,0,49,0,14,3,442,84,40.18,307,0,3,0,55,0,15,3,445,75,37.08,336,0,4,0,58,1,17,1,383,59,23.93,314,0,3,1,54,0,,,,,,,,,,,,,,,,,,,,,
SL Malinga,15,1,6,6,0,10,0,0,0,1,1,,,,,,,,,,,,12,2,7,7,0,3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM Curran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,95,55,23.75,55,0,1,1,16,1,,,,,,,,,,,,,,,,,,,,,
SN Khan,13,4,111,45,27.75,71,0,0,0,14,1,5,2,66,35,33,31,0,0,0,11,1,,,,,,,,,,,,7,1,51,22,10.2,41,0,0,1,8,1,8,1,180,67,45,143,0,1,0,23,0,,,,,,,,,,,,,,,,,,,,,
SN Thakur,1,1,7,7,0,6,0,0,0,1,1,,,,,,,,,,,,12,0,0,0,0,3,0,0,3,0,0,13,1,15,15,0,5,0,0,0,3,1,10,1,14,12,7,7,0,0,1,2,1,,,,,,,,,,,,,,,,,,,,,
SO Hetmyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,90,75,18,73,0,1,1,11,0,,,,,,,,,,,,,,,,,,,,,
SP Goswami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,52,35,17.33,40,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP Jackson,,,,,,,,,,,,,,,,,,,,,,,4,1,38,16,19,31,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP Narine,8,1,0,0,0,1,0,0,0,0,1,11,3,7,4,7,13,0,0,0,0,0,16,1,224,54,17.23,130,0,1,2,44,0,16,0,357,75,22.31,188,0,2,0,63,0,12,1,143,47,17.87,86,0,0,0,26,0,,,,,,,,,,,,,,,,,,,,,
SPD Smith,14,1,293,79,26.63,221,0,2,1,36,1,8,1,270,101,45,176,1,0,0,35,0,15,3,472,84,39.33,387,0,3,0,50,1,,,,,,,,,,,,12,2,319,73,39.87,275,0,3,0,34,1,,,,,,,,,,,,,,,,,,,,,
